scan,value,chi2_py,chi2_idl,abs_diff,rel_diff
lambda,-3.1415926536,545.848875,545.849143,-2.6801e-04,4.9100e-07
lambda,-2.5132741229,532.144193,532.144434,-2.4128e-04,4.5341e-07
lambda,-1.8849555922,514.359260,514.359421,-1.6106e-04,3.1312e-07
lambda,-1.2566370614,533.405794,533.406286,-4.9290e-04,9.2405e-07
lambda,-0.6283185307,539.477909,539.478331,-4.2207e-04,7.8236e-07
lambda,0.0000000000,542.889645,542.890045,-4.0013e-04,7.3703e-07
lambda,0.6283185307,545.214101,545.214419,-3.1812e-04,5.8348e-07
lambda,1.2566370614,547.382682,547.383083,-4.0178e-04,7.3399e-07
lambda,1.8849555922,543.510785,543.511098,-3.1316e-04,5.7618e-07
lambda,2.5132741229,538.385362,538.385548,-1.8588e-04,3.4525e-07
lambda,3.1415926536,545.848875,545.849143,-2.6801e-04,4.9100e-07
vsini,35.0000000000,518.016966,518.017052,-8.6248e-05,1.6650e-07
vsini,37.5000000000,515.148298,515.148370,-7.2387e-05,1.4052e-07
vsini,40.0000000000,512.857696,512.857758,-6.2244e-05,1.2137e-07
vsini,42.5000000000,511.446810,511.446870,-6.0141e-05,1.1759e-07
vsini,45.0000000000,511.131447,511.131516,-6.9288e-05,1.3556e-07
vsini,47.5000000000,512.084285,512.084378,-9.3453e-05,1.8250e-07
vsini,50.0000000000,514.406198,514.406334,-1.3665e-04,2.6564e-07
vsini,52.5000000000,518.084379,518.084579,-2.0042e-04,3.8685e-07
vsini,55.0000000000,522.911125,522.911406,-2.8111e-04,5.3759e-07
vline,2.0000000000,512.294075,512.294173,-9.8839e-05,1.9293e-07
vline,3.0000000000,511.959691,511.959782,-9.0241e-05,1.7627e-07
vline,4.0000000000,511.590887,511.590967,-8.0182e-05,1.5673e-07
vline,5.0000000000,511.245997,511.246067,-6.9782e-05,1.3649e-07
vline,6.0000000000,510.973865,510.973925,-6.0142e-05,1.1770e-07
vline,7.0000000000,510.799890,510.799942,-5.1460e-05,1.0074e-07
vline,8.0000000000,510.740313,510.740357,-4.4397e-05,8.6926e-08
vline,9.0000000000,510.792075,510.792114,-3.8925e-05,7.6206e-08
vline,10.0000000000,510.945411,510.945446,-3.4876e-05,6.8259e-08
vline,11.0000000000,511.192409,511.192441,-3.1917e-05,6.2436e-08
vline,12.0000000000,511.516739,511.516769,-2.9787e-05,5.8233e-08
cosi,0.0200000000,560.767863,560.766316,+1.5466e-03,2.7581e-06
cosi,0.0400000000,550.475206,550.474400,+8.0615e-04,1.4645e-06
cosi,0.0600000000,527.306862,527.306840,+2.1966e-05,4.1657e-08
cosi,0.0800000000,511.430213,511.430281,-6.8276e-05,1.3350e-07
cosi,0.1000000000,517.380801,517.381008,-2.0729e-04,4.0065e-07
cosi,0.1200000000,526.832037,526.832466,-4.2920e-04,8.1468e-07
cosi,0.1400000000,524.977411,524.977496,-8.5046e-05,1.6200e-07
cosi,0.1600000000,523.304567,523.304567,-1.7127e-09,3.2728e-12
cosi,0.1800000000,523.304567,523.304567,-1.7127e-09,3.2728e-12
